РВСВ_3,РВЛН_13,РВСН_3,РВЛВ_13,РВЛН_11
599.9244,1224.924,1199.975,574.9748,625.0
599.9244,1224.924,1199.975,574.9748,625.0
599.9244,1224.924,1199.975,574.9748,625.0
598.9163,1397.933,1197.959,598.9163,798.8911
599.9244,1399.95,1199.975,574.9748,799.8992
601.9405,1228.957,1203.881,550.9072,625.8821
600.9324,1252.898,1202.999,525.9576,650.9576
600.9324,1202.999,1202.999,500.882,600.9324
600.9324,1202.999,1202.999,500.882,600.9324
600.9324,1277.974,1202.999,500.882,675.9072
600.9324,1277.974,1202.999,500.882,675.9072
600.9324,1252.898,1202.999,500.882,650.9576
600.9324,1252.898,1202.999,500.882,650.9576
594.8841,1389.995,1190.902,594.8841,795.9929
594.8841,1388.987,1189.894,594.8841,794.9849
594.8841,1239.919,1189.894,520.9174,645.9174
594.8841,1239.919,1189.894,520.9174,645.9174
599.9244,1224.924,1199.975,574.9748,625.0
596.9002,1243.952,1193.926,596.9002,646.9254
601.9405,1253.906,1204.889,500.882,651.9657
601.9405,1253.906,1204.889,500.882,651.9657
599.9244,1275.958,1200.983,449.9748,674.8992
599.9244,1275.958,1200.983,449.9748,674.8992
600.9324,1301.915,1202.999,450.9828,700.9828
601.9405,1303.931,1203.881,450.9828,700.9828
603.9567,1409.904,1208.921,603.9567,803.9315
603.9567,1408.896,1207.913,603.9567,802.9234
603.9567,1308.972,1208.921,452.999,703.881
603.9567,1308.972,1208.921,452.999,703.881
600.9324,1301.915,1201.991,650.9576,699.9748
601.9405,1354.965,1203.881,601.9405,751.8901
600.9324,1453.881,1202.999,726.9405,850.9324
597.9083,1445.943,1195.943,672.8831,847.9083
595.8922,1341.986,1191.91,466.9859,745.9677
594.8841,1339.97,1189.894,465.9778,744.9597
599.9244,1349.924,1199.975,469.8841,750.0
600.9324,1351.941,1201.991,469.8841,750.8821
603.9567,1359.879,1208.921,502.8982,753.9063
